	Condition
Sample 1	OH
Sample 2	OH
Sample 3	OS
Sample 4	OS
Sample 5	OH
Sample 6	OH
Sample 7	OS
Sample 8	OS
Sample 9	OH
Sample 10	OH
Sample 11	OS
Sample 12	OS
Sample 13	OH
Sample 14	OH
Sample 15	OS
Sample 16	OS
Sample 17	OH
Sample 18	OH
Sample 19	OS
Sample 20	OH
Sample 21	OH
Sample 22	OS
Sample 23	OH
Sample 24	OH
Sample 25	OS
Sample 26	OH
Sample 27	OH
Sample 28	OS
Sample 29	OH
Sample 30	OS
Sample 31	OS
Sample 32	OH
Sample 33	OS
Sample 34	OS
Sample 35	OH
Sample 36	OS
Sample 37	OS
Sample 38	OH
Sample 39	OS
Sample 40	OS
